level,eigenvalue_lambda,mass_m_i
1,-2.1804271164524587,0.0
2,-1.4615526577268372,0.0
3,-0.9320755195088594,0.0
4,-0.18934455430110816,0.0
5,0.26956453205472264,0.10598044867936779
6,1.6524372070031994,0.2623957893941897
7,2.684630729664764,0.33445420274834614
8,4.914205784444167,0.45250256833728614
9,4.922818390620404,0.4528989213307058
10,8.415324237293675,0.5921473717641889
