k,min_L1_mass,status,success,grain_margin
203,1.3433e+02,DANGER ZONE,0,0.001806771
204,6.8727e+01,DANGER ZONE,0,0.001782624
205,3.7652e+01,DANGER ZONE,0,0.001758712
206,6.9082e+01,DANGER ZONE,0,0.001735032
207,1.8074e+01,DANGER ZONE,0,0.001711581
208,8.9813e+00,STABLE,1,0.001688355
209,4.3362e+01,DANGER ZONE,0,0.001665352
210,4.3977e+01,DANGER ZONE,0,0.001642568
211,2.2667e+01,DANGER ZONE,0,0.001619999
212,3.7456e+01,DANGER ZONE,0,0.001597644
213,3.8906e+01,DANGER ZONE,0,0.001575499
214,4.0265e+01,DANGER ZONE,0,0.001553560
215,1.8230e+02,DANGER ZONE,0,0.001531826
216,1.8017e+02,DANGER ZONE,0,0.001510293
217,1.7808e+02,DANGER ZONE,0,0.001488958
218,5.2658e+01,DANGER ZONE,0,0.001467819
219,5.3284e+01,DANGER ZONE,0,0.001446873
220,5.3864e+01,DANGER ZONE,0,0.001426118
221,5.4402e+01,DANGER ZONE,0,0.001405550
222,9.0459e+01,DANGER ZONE,0,0.001385168
223,9.0239e+01,DANGER ZONE,0,0.001364968
224,8.9994e+01,DANGER ZONE,0,0.001344949
225,8.9725e+01,DANGER ZONE,0,0.001325107
226,8.9434e+01,DANGER ZONE,0,0.001305442
227,1.0150e+02,DANGER ZONE,0,0.001285949
228,1.7723e+02,DANGER ZONE,0,0.001266628
229,1.7500e+02,DANGER ZONE,0,0.001247475
230,1.7282e+02,DANGER ZONE,0,0.001228489
231,1.7069e+02,DANGER ZONE,0,0.001209667
232,1.6860e+02,DANGER ZONE,0,0.001191008
233,1.6655e+02,DANGER ZONE,0,0.001172508
234,2.5895e+01,DANGER ZONE,0,0.001154167
235,2.6879e+01,DANGER ZONE,0,0.001135982
236,1.3054e+02,DANGER ZONE,0,0.001117951
237,1.2939e+02,DANGER ZONE,0,0.001100072
238,1.5694e+02,DANGER ZONE,0,0.001082344
239,2.0130e+02,DANGER ZONE,0,0.001064763
240,1.9830e+02,DANGER ZONE,0,0.001047330
241,8.8498e+01,DANGER ZONE,0,0.001030041
242,8.8060e+01,DANGER ZONE,0,0.001012894
243,8.7591e+01,DANGER ZONE,0,0.000995889
244,8.7094e+01,DANGER ZONE,0,0.000979024
245,8.6572e+01,DANGER ZONE,0,0.000962296
246,2.2833e+02,DANGER ZONE,0,0.000945704
247,2.2491e+02,DANGER ZONE,0,0.000929246
248,2.2157e+02,DANGER ZONE,0,0.000912921
249,1.1150e+02,DANGER ZONE,0,0.000896727
250,1.1012e+02,DANGER ZONE,0,0.000880663
251,1.0874e+02,DANGER ZONE,0,0.000864727
252,1.0736e+02,DANGER ZONE,0,0.000848917
253,1.0600e+02,DANGER ZONE,0,0.000833232
254,1.0464e+02,DANGER ZONE,0,0.000817671
255,1.3152e+02,DANGER ZONE,0,0.000802232
256,1.2926e+02,DANGER ZONE,0,0.000786913
257,1.2705e+02,DANGER ZONE,0,0.000771714
258,1.3156e+02,DANGER ZONE,0,0.000756632
259,1.2934e+02,DANGER ZONE,0,0.000741667
260,1.2717e+02,DANGER ZONE,0,0.000726817
261,1.2505e+02,DANGER ZONE,0,0.000712081
262,3.3890e+01,DANGER ZONE,0,0.000697457
263,3.4279e+01,DANGER ZONE,0,0.000682944
264,2.7895e+02,DANGER ZONE,0,0.000668542
265,2.7507e+02,DANGER ZONE,0,0.000654248
266,2.7125e+02,DANGER ZONE,0,0.000640061
267,6.4488e+00,STABLE,1,0.000625981
268,7.3865e+01,DANGER ZONE,0,0.000612006
269,7.3027e+01,DANGER ZONE,0,0.000598135
270,7.2163e+01,DANGER ZONE,0,0.000584367
271,2.5817e+02,DANGER ZONE,0,0.000570700
272,2.5452e+02,DANGER ZONE,0,0.000557134
273,2.4567e+02,DANGER ZONE,0,0.000543667
274,1.4555e+02,DANGER ZONE,0,0.000530298
275,1.4193e+02,DANGER ZONE,0,0.000517027
276,1.3841e+02,DANGER ZONE,0,0.000503851
277,1.3501e+02,DANGER ZONE,0,0.000490771
278,1.3170e+02,DANGER ZONE,0,0.000477785
279,2.1912e+02,DANGER ZONE,0,0.000464892
280,2.1225e+02,DANGER ZONE,0,0.000452092
281,2.0564e+02,DANGER ZONE,0,0.000439382
282,1.9927e+02,DANGER ZONE,0,0.000426762
283,1.9315e+02,DANGER ZONE,0,0.000414232
284,3.5157e+02,DANGER ZONE,0,0.000401790
285,3.3952e+02,DANGER ZONE,0,0.000389435
286,3.3107e+02,DANGER ZONE,0,0.000377166
287,3.1841e+02,DANGER ZONE,0,0.000364984
288,3.0632e+02,DANGER ZONE,0,0.000352885
289,2.9476e+02,DANGER ZONE,0,0.000340871
290,3.8525e+02,DANGER ZONE,0,0.000328939
291,3.6705e+02,DANGER ZONE,0,0.000317089
292,3.4984e+02,DANGER ZONE,0,0.000305321
293,3.3354e+02,DANGER ZONE,0,0.000293632
294,3.1811e+02,DANGER ZONE,0,0.000282024
295,2.0933e+02,DANGER ZONE,0,0.000270494
296,1.9887e+02,DANGER ZONE,0,0.000259041
297,9.5918e+01,DANGER ZONE,0,0.000247666
298,9.1625e+01,DANGER ZONE,0,0.000236368
299,4.4378e+02,DANGER ZONE,0,0.000225145
300,4.1483e+02,DANGER ZONE,0,0.000213996
301,3.8795e+02,DANGER ZONE,0,0.000202922
302,4.4610e+02,DANGER ZONE,0,0.000191921
303,4.1089e+02,DANGER ZONE,0,0.000180993
304,3.7866e+02,DANGER ZONE,0,0.000170137
305,3.4916e+02,DANGER ZONE,0,0.000159352
306,3.2213e+02,DANGER ZONE,0,0.000148637
307,2.9735e+02,DANGER ZONE,0,0.000137992
308,1.3079e+03,DANGER ZONE,0,0.000127416
