Iteration,GUE_Mass,Poisson_Mass
0,5.341526821317053,252.700517735895
1,5.546298676416959,207.50187135524237
2,6.982486859280762,161.48484807480938
3,5.561405416281119,192.99832699090368
4,5.479039944993214,177.11267246316726
5,6.5916582901916625,193.5564915034444
6,5.051279880063035,225.4952720238878
7,5.115883303890544,143.3986843910001
8,5.823944207184958,188.36149575242445
9,5.42053353040798,238.46049499416603
10,5.10317570579899,214.1932312676705
11,5.015483091292608,182.43416218451148
12,6.303261550537043,211.2891563210252
13,5.442669834230004,208.1771794549234
14,4.877021911952277,215.12609585272133
15,4.9634348456531,188.80046860270744
16,5.055567136881614,213.3504906063821
17,5.3611875285050425,173.0802361407613
18,5.212548765704066,191.70564678444703
19,5.472372954624875,178.477015954229
20,5.567724217561034,190.53383917143694
21,5.891815764811485,197.7156398456847
22,5.2740750401778875,207.1577941073347
23,5.046914965787861,198.6680959745753
24,5.420968010290157,239.61116112300277
25,4.526038008554443,151.82093730838764
26,5.2046213897098,201.40695485544853
27,5.020217372829228,221.7173918238076
28,5.6420050884363135,190.4725627571284
29,5.537629493040111,215.28878698254883
30,7.763498193271536,167.09787306739202
31,5.057451212701415,176.99682172382302
32,5.206507560383642,185.84117529371306
33,5.060797584465646,184.47873323747825
34,5.869883781492947,159.9574241989072
35,5.546505986909711,189.2816107124495
36,6.220668961672726,240.5992960346299
37,7.108492726277392,147.7733041146508
38,5.383729314680228,201.8413227928406
39,5.052121988101477,191.01788393063657
40,4.785162026759493,206.34057962250256
41,5.615319867707686,204.61731636692278
42,5.198914862479793,176.58007908724105
43,5.804138916363479,160.65569044812796
44,5.534680392378978,198.93863993220708
45,5.360438241840093,171.27310877671698
46,5.274934414318504,214.59976611764668
47,5.5079476960760365,186.90478566042714
48,6.169077131932945,161.3833822694029
49,5.0349078670662,204.48924963068282
