Iteration,GUE_Mass,Poisson_Mass
0,0.19375188683771605,6.418858678722052
1,0.33513982958467764,8.94309706301632
2,0.20000375117363536,6.477292962981397
3,0.2019176713726867,7.064985919234519
4,0.2039149975588785,7.457840185070754
5,0.20084197233680784,7.893298174763658
6,0.19754989774713888,9.697621115445692
7,0.21257999642251132,7.66806520680746
8,0.19165156568839004,7.728378922640644
9,0.25986354316674404,6.947366519093144
10,0.24465000948829954,8.30388573100521
11,0.2312215838817944,7.168717304866319
12,0.18606127778250212,7.109646480891468
13,0.19091667086269834,8.754488600159556
14,0.32702978210198075,6.264125836490672
15,0.19752507004031503,5.948258257601645
16,0.20381114891488003,9.311827795190682
17,0.20315993302211882,7.294244453460205
18,0.2041650670070127,6.333755213881112
19,0.22295334318823487,9.71651456917613
20,0.19653778463933078,6.53829902979154
21,0.1952080134787809,6.052154446288072
22,0.2282996483789842,8.034951654933874
23,0.19269106066180802,6.651742180711503
24,0.23188892286974408,9.246376353866724
25,0.18117892223065452,8.167389431503885
26,0.21465779432767126,7.520400263023747
27,0.18198394192460218,8.630187188512615
28,0.21403917477023143,9.039483982241055
29,0.22158852171285803,6.395385573473051
30,0.1939961548349745,9.43013160637567
31,0.21137385507583464,7.210462034735976
32,0.22061466209038105,8.517555592624626
33,0.2216837631133219,7.414658149711345
34,0.20291490462749487,7.53716324642185
35,0.2138560468354044,8.293185915186028
36,0.24051867354841566,5.978778317677015
37,0.21952576742415028,8.931777775343903
38,0.2914678773438678,8.413042165859247
39,0.21698023073372696,10.152163654317093
40,0.2815177850678728,8.751963343268628
41,0.2339564003002354,4.498985001729766
42,0.253547111024948,7.8127336969608905
43,0.26050857831237967,8.271488170939413
44,0.20051358440945652,7.424674450452679
45,0.20394996164820928,7.103803237653127
46,0.19551413297851816,7.1408234781492
47,0.2541346886074886,5.430780538058139
48,0.22871199879870696,8.858312554090572
49,0.22006145843554167,8.088697086916799
