Gap,B,Flux
2,18.522606958401212,17.522606958401212
4,18.52266392823256,17.52266392823256
6,9.262444566316749,8.262444566316749
10,13.896299970455553,12.896299970455553
30,6.9490761959297656,5.9490761959297656
