Z,Element_Name,Ionization_eV,Waveform
49,Indium,5.7863558,"0.000000,0.005331,0.010661,0.015991,0.021321,0.026650,0.031979,0.037306,0.042632,0.047958,0.053281,0.058604,0.063924,0.069243,0.074560,0.079875,0.085187,0.090497,0.095805,0.101110,0.106411,0.111710,0.117006,0.122298,0.127587,0.132872,0.138154,0.143431,0.148705,0.153974,0.159239,0.164499,0.169755,0.175006,0.180252,0.185493,0.190728,0.195958,0.201183,0.206402,0.211614,0.216821,0.222022,0.227217,0.232405,0.237586,0.242761,0.247928,0.253089,0.258242"
50,Tin,7.343918,"0.000000,0.004732,0.009463,0.014195,0.018926,0.023656,0.028387,0.033116,0.037845,0.042573,0.047300,0.052026,0.056750,0.061474,0.066196,0.070916,0.075635,0.080353,0.085068,0.089782,0.094493,0.099203,0.103910,0.108615,0.113318,0.118018,0.122715,0.127409,0.132101,0.136790,0.141476,0.146158,0.150837,0.155513,0.160186,0.164855,0.169520,0.174181,0.178838,0.183492,0.188141,0.192786,0.197427,0.202063,0.206695,0.211322,0.215945,0.220563,0.225175,0.229783"
51,Antimony,8.608389,"0.000000,0.004370,0.008741,0.013111,0.017481,0.021850,0.026219,0.030588,0.034956,0.039324,0.043690,0.048056,0.052421,0.056785,0.061148,0.065509,0.069870,0.074229,0.078586,0.082943,0.087297,0.091650,0.096001,0.100350,0.104698,0.109043,0.113386,0.117728,0.122066,0.126403,0.130737,0.135069,0.139398,0.143724,0.148048,0.152369,0.156687,0.161002,0.165313,0.169622,0.173928,0.178230,0.182528,0.186824,0.191115,0.195403,0.199688,0.203968,0.208245,0.212517"
52,Tellurium,9.009808,"0.000000,0.004272,0.008544,0.012815,0.017087,0.021358,0.025629,0.029899,0.034169,0.038438,0.042706,0.046974,0.051241,0.055507,0.059772,0.064035,0.068298,0.072559,0.076819,0.081078,0.085335,0.089591,0.093845,0.098097,0.102347,0.106596,0.110842,0.115087,0.119330,0.123570,0.127808,0.132044,0.136277,0.140508,0.144736,0.148962,0.153185,0.157405,0.161622,0.165836,0.170048,0.174256,0.178461,0.182662,0.186861,0.191056,0.195247,0.199435,0.203620,0.207800"
53,Iodine,10.451236,"0.000000,0.003966,0.007933,0.011899,0.015865,0.019831,0.023796,0.027761,0.031726,0.035690,0.039654,0.043617,0.047579,0.051541,0.055502,0.059461,0.063420,0.067378,0.071335,0.075291,0.079245,0.083199,0.087151,0.091101,0.095051,0.098998,0.102945,0.106889,0.110832,0.114773,0.118712,0.122650,0.126585,0.130519,0.134450,0.138380,0.142307,0.146232,0.150154,0.154075,0.157992,0.161908,0.165821,0.169731,0.173638,0.177543,0.181445,0.185344,0.189241,0.193134"
54,Xenon,12.1298437,"0.000000,0.003682,0.007363,0.011045,0.014727,0.018408,0.022089,0.025770,0.029450,0.033130,0.036809,0.040488,0.044167,0.047845,0.051522,0.055198,0.058874,0.062549,0.066223,0.069897,0.073569,0.077240,0.080910,0.084579,0.088247,0.091914,0.095580,0.099244,0.102907,0.106568,0.110229,0.113887,0.117544,0.121200,0.124853,0.128505,0.132156,0.135804,0.139451,0.143096,0.146739,0.150380,0.154019,0.157655,0.161290,0.164923,0.168553,0.172181,0.175806,0.179430"
55,Cesium,3.89390572743,"0.000000,0.006498,0.012996,0.019493,0.025990,0.032485,0.038979,0.045472,0.051962,0.058450,0.064936,0.071419,0.077899,0.084376,0.090849,0.097318,0.103784,0.110244,0.116701,0.123152,0.129598,0.136038,0.142473,0.148902,0.155325,0.161741,0.168150,0.174552,0.180947,0.187334,0.193713,0.200084,0.206446,0.212800,0.219145,0.225480,0.231806,0.238123,0.244429,0.250725,0.257010,0.263284,0.269548,0.275799,0.282040,0.288268,0.294484,0.300688,0.306879,0.313057"
56,Barium,5.2116646,"0.000000,0.005617,0.011234,0.016850,0.022466,0.028081,0.033695,0.039308,0.044920,0.050530,0.056139,0.061746,0.067352,0.072955,0.078555,0.084154,0.089749,0.095342,0.100932,0.106518,0.112102,0.117681,0.123257,0.128829,0.134397,0.139961,0.145520,0.151075,0.156625,0.162170,0.167710,0.173245,0.178774,0.184298,0.189815,0.195327,0.200833,0.206332,0.211825,0.217311,0.222790,0.228262,0.233727,0.239185,0.244635,0.250077,0.255511,0.260938,0.266356,0.271766"
57,Lanthanum,5.5769,"0.000000,0.005430,0.010859,0.016289,0.021718,0.027146,0.032573,0.038000,0.043425,0.048849,0.054272,0.059693,0.065112,0.070529,0.075945,0.081358,0.086768,0.092176,0.097582,0.102984,0.108384,0.113780,0.119173,0.124562,0.129948,0.135330,0.140707,0.146081,0.151451,0.156816,0.162176,0.167531,0.172882,0.178228,0.183568,0.188903,0.194232,0.199555,0.204873,0.210185,0.215490,0.220789,0.226082,0.231368,0.236647,0.241919,0.247184,0.252442,0.257692,0.262934"
58,Cerium,5.5386,"0.000000,0.005449,0.010897,0.016345,0.021793,0.027240,0.032686,0.038131,0.043575,0.049018,0.054459,0.059899,0.065336,0.070772,0.076206,0.081638,0.087067,0.092494,0.097917,0.103338,0.108756,0.114171,0.119582,0.124990,0.130394,0.135794,0.141190,0.146582,0.151969,0.157352,0.162731,0.168104,0.173473,0.178836,0.184194,0.189547,0.194894,0.200235,0.205570,0.210899,0.216222,0.221539,0.226849,0.232152,0.237448,0.242737,0.248019,0.253294,0.258561,0.263820"
59,Praseodymium,5.4702,"0.000000,0.005483,0.010965,0.016447,0.021928,0.027409,0.032889,0.038368,0.043846,0.049323,0.054798,0.060271,0.065743,0.071213,0.076680,0.082146,0.087608,0.093068,0.098526,0.103980,0.109431,0.114879,0.120324,0.125765,0.131202,0.136635,0.142064,0.147489,0.152909,0.158325,0.163736,0.169142,0.174543,0.179939,0.185329,0.190714,0.196093,0.201466,0.206833,0.212194,0.217548,0.222896,0.228237,0.233572,0.238899,0.244219,0.249532,0.254837,0.260135,0.265425"
60,Neodymium,5.52475,"0.000000,0.005455,0.010911,0.016366,0.021820,0.027274,0.032727,0.038179,0.043629,0.049079,0.054527,0.059974,0.065418,0.070861,0.076302,0.081740,0.087176,0.092609,0.098040,0.103467,0.108892,0.114313,0.119731,0.125145,0.130556,0.135963,0.141366,0.146764,0.152158,0.157548,0.162933,0.168313,0.173688,0.179058,0.184422,0.189781,0.195135,0.200482,0.205824,0.211159,0.216489,0.221811,0.227128,0.232437,0.237740,0.243035,0.248323,0.253604,0.258877,0.264143"
61,Promethium,5.58187,"0.000000,0.005427,0.010855,0.016282,0.021708,0.027134,0.032559,0.037983,0.043406,0.048827,0.054248,0.059666,0.065083,0.070498,0.075911,0.081321,0.086730,0.092135,0.097538,0.102938,0.108335,0.113729,0.119120,0.124507,0.129890,0.135270,0.140645,0.146017,0.151384,0.156746,0.162104,0.167458,0.172806,0.178149,0.183487,0.188820,0.194147,0.199468,0.204783,0.210093,0.215396,0.220693,0.225983,0.231267,0.236543,0.241813,0.247076,0.252332,0.257580,0.262820"
62,Samarium,5.643722,"0.000000,0.005398,0.010795,0.016192,0.021589,0.026985,0.032380,0.037774,0.043167,0.048559,0.053950,0.059339,0.064726,0.070111,0.075495,0.080876,0.086254,0.091631,0.097004,0.102375,0.107743,0.113107,0.118468,0.123826,0.129180,0.134531,0.139877,0.145220,0.150558,0.155892,0.161221,0.166546,0.171866,0.177181,0.182490,0.187794,0.193093,0.198386,0.203674,0.208955,0.214231,0.219500,0.224763,0.230019,0.235268,0.240511,0.245747,0.250975,0.256196,0.261410"
63,Europium,5.670385,"0.000000,0.005385,0.010770,0.016154,0.021538,0.026921,0.032304,0.037685,0.043066,0.048445,0.053823,0.059199,0.064574,0.069947,0.075317,0.080686,0.086052,0.091415,0.096776,0.102135,0.107490,0.112842,0.118191,0.123536,0.128878,0.134216,0.139550,0.144881,0.150207,0.155528,0.160845,0.166158,0.171465,0.176768,0.182065,0.187358,0.192644,0.197926,0.203201,0.208471,0.213734,0.218992,0.224243,0.229487,0.234725,0.239956,0.245180,0.250397,0.255607,0.260809"
64,Gadolinium,6.1498,"0.000000,0.005171,0.010341,0.015512,0.020682,0.025851,0.031020,0.036187,0.041354,0.046520,0.051684,0.056848,0.062009,0.067169,0.072327,0.077483,0.082638,0.087790,0.092939,0.098086,0.103231,0.108372,0.113511,0.118647,0.123780,0.128909,0.134035,0.139157,0.144276,0.149390,0.154501,0.159608,0.164710,0.169808,0.174901,0.179990,0.185074,0.190153,0.195226,0.200295,0.205358,0.210416,0.215468,0.220515,0.225555,0.230590,0.235618,0.240640,0.245656,0.250664"
65,Terbium,5.8638,"0.000000,0.005295,0.010590,0.015885,0.021180,0.026474,0.031767,0.037059,0.042350,0.047640,0.052929,0.058216,0.063501,0.068785,0.074067,0.079347,0.084624,0.089899,0.095172,0.100442,0.105709,0.110973,0.116234,0.121492,0.126746,0.131997,0.137244,0.142488,0.147727,0.152962,0.158193,0.163419,0.168641,0.173858,0.179071,0.184278,0.189480,0.194677,0.199868,0.205054,0.210233,0.215408,0.220576,0.225737,0.230893,0.236042,0.241184,0.246320,0.251448,0.256570"
66,Dysprosium,5.939061,"0.000000,0.005262,0.010523,0.015784,0.021045,0.026305,0.031565,0.036823,0.042081,0.047337,0.052593,0.057846,0.063098,0.068349,0.073597,0.078843,0.084088,0.089329,0.094569,0.099806,0.105040,0.110271,0.115499,0.120724,0.125945,0.131163,0.136378,0.141588,0.146795,0.151997,0.157196,0.162390,0.167580,0.172764,0.177945,0.183120,0.188290,0.193455,0.198614,0.203769,0.208917,0.214060,0.219196,0.224327,0.229452,0.234570,0.239681,0.244786,0.249884,0.254976"
67,Holmium,6.0215,"0.000000,0.005226,0.010451,0.015676,0.020901,0.026125,0.031348,0.036571,0.041792,0.047013,0.052232,0.057449,0.062665,0.067880,0.073092,0.078303,0.083511,0.088717,0.093921,0.099122,0.104321,0.109516,0.114709,0.119898,0.125085,0.130267,0.135447,0.140622,0.145794,0.150961,0.156125,0.161284,0.166439,0.171590,0.176735,0.181876,0.187012,0.192143,0.197268,0.202388,0.207503,0.212612,0.217715,0.222812,0.227903,0.232988,0.238067,0.243139,0.248204,0.253263"
68,Erbium,6.1077,"0.000000,0.005189,0.010377,0.015565,0.020753,0.025940,0.031126,0.036312,0.041496,0.046680,0.051862,0.057043,0.062222,0.067400,0.072576,0.077750,0.082921,0.088091,0.093258,0.098423,0.103585,0.108744,0.113900,0.119053,0.124203,0.129350,0.134493,0.139633,0.144769,0.149900,0.155028,0.160152,0.165271,0.170386,0.175497,0.180602,0.185703,0.190799,0.195889,0.200975,0.206055,0.211129,0.216198,0.221261,0.226318,0.231369,0.236413,0.241451,0.246483,0.251508"
69,Thulium,6.184402,"0.000000,0.005156,0.010312,0.015468,0.020624,0.025778,0.030933,0.036086,0.041238,0.046390,0.051540,0.056688,0.061836,0.066981,0.072125,0.077267,0.082407,0.087544,0.092680,0.097812,0.102943,0.108070,0.113195,0.118316,0.123435,0.128550,0.133662,0.138770,0.143874,0.148975,0.154072,0.159164,0.164253,0.169337,0.174416,0.179491,0.184561,0.189626,0.194687,0.199742,0.204791,0.209836,0.214874,0.219907,0.224934,0.229955,0.234970,0.239979,0.244981,0.249977"
70,Ytterbium,6.25416,"0.000000,0.005127,0.010255,0.015382,0.020508,0.025634,0.030760,0.035884,0.041008,0.046130,0.051252,0.056372,0.061490,0.066607,0.071722,0.076836,0.081947,0.087056,0.092163,0.097267,0.102369,0.107468,0.112564,0.117658,0.122748,0.127835,0.132919,0.137999,0.143075,0.148148,0.153217,0.158282,0.163342,0.168399,0.173451,0.178498,0.183541,0.188579,0.193612,0.198640,0.203662,0.208679,0.213691,0.218697,0.223698,0.228692,0.233681,0.238663,0.243639,0.248609"
71,Lutetium,5.425871,"0.000000,0.005505,0.011010,0.016514,0.022018,0.027521,0.033023,0.038525,0.044025,0.049524,0.055021,0.060517,0.066011,0.071503,0.076992,0.082480,0.087964,0.093447,0.098926,0.104402,0.109876,0.115345,0.120812,0.126275,0.131733,0.137188,0.142639,0.148086,0.153527,0.158965,0.164397,0.169825,0.175247,0.180664,0.186076,0.191481,0.196882,0.202276,0.207664,0.213045,0.218421,0.223789,0.229151,0.234506,0.239854,0.245194,0.250528,0.255853,0.261171,0.266481"
72,Hafnium,6.82507,"0.000000,0.004908,0.009816,0.014724,0.019632,0.024539,0.029445,0.034351,0.039256,0.044160,0.049063,0.053965,0.058865,0.063764,0.068662,0.073558,0.078452,0.083344,0.088234,0.093122,0.098008,0.102892,0.107773,0.112651,0.117527,0.122400,0.127269,0.132136,0.137000,0.141860,0.146717,0.151571,0.156420,0.161266,0.166108,0.170946,0.175780,0.180610,0.185435,0.190256,0.195073,0.199884,0.204691,0.209493,0.214290,0.219082,0.223868,0.228649,0.233424,0.238194"
73,Tantalum,7.549571,"0.000000,0.004667,0.009334,0.014000,0.018666,0.023332,0.027997,0.032662,0.037326,0.041989,0.046651,0.051313,0.055973,0.060632,0.065289,0.069945,0.074600,0.079253,0.083904,0.088554,0.093201,0.097847,0.102490,0.107131,0.111770,0.116406,0.121040,0.125671,0.130300,0.134926,0.139548,0.144168,0.148784,0.153398,0.158007,0.162614,0.167217,0.171816,0.176412,0.181003,0.185591,0.190175,0.194755,0.199330,0.203901,0.208467,0.213029,0.217587,0.222139,0.226687"
74,Tungsten,7.86403,"0.000000,0.004573,0.009145,0.013717,0.018289,0.022861,0.027432,0.032003,0.036572,0.041142,0.045710,0.050277,0.054843,0.059409,0.063972,0.068535,0.073096,0.077656,0.082214,0.086770,0.091324,0.095877,0.100427,0.104976,0.109522,0.114066,0.118607,0.123146,0.127683,0.132217,0.136748,0.141276,0.145801,0.150323,0.154842,0.159358,0.163870,0.168379,0.172885,0.177387,0.181885,0.186379,0.190870,0.195356,0.199839,0.204317,0.208791,0.213261,0.217726,0.222186"
75,Rhenium,7.83352,"0.000000,0.004581,0.009163,0.013744,0.018325,0.022905,0.027485,0.032065,0.036644,0.041222,0.045799,0.050375,0.054950,0.059524,0.064097,0.068668,0.073238,0.077806,0.082373,0.086938,0.091501,0.096063,0.100622,0.105179,0.109734,0.114287,0.118837,0.123385,0.127930,0.132472,0.137012,0.141549,0.146083,0.150613,0.155141,0.159665,0.164186,0.168704,0.173218,0.177728,0.182235,0.186738,0.191237,0.195732,0.200222,0.204709,0.209191,0.213669,0.218143,0.222611"
76,Osmium,8.43823,"0.000000,0.004414,0.008828,0.013242,0.017656,0.022070,0.026482,0.030895,0.035307,0.039718,0.044128,0.048538,0.052946,0.057354,0.061760,0.066166,0.070569,0.074972,0.079373,0.083773,0.088171,0.092567,0.096961,0.101354,0.105744,0.110133,0.114519,0.118903,0.123285,0.127664,0.132041,0.136415,0.140787,0.145156,0.149522,0.153885,0.158245,0.162603,0.166956,0.171307,0.175654,0.179998,0.184339,0.188676,0.193009,0.197338,0.201664,0.205985,0.210303,0.214616"
77,Iridium,8.96702,"0.000000,0.004282,0.008564,0.012846,0.017128,0.021409,0.025690,0.029970,0.034250,0.038530,0.042808,0.047086,0.051363,0.055639,0.059914,0.064188,0.068460,0.072732,0.077002,0.081271,0.085538,0.089804,0.094068,0.098330,0.102590,0.106849,0.111105,0.115360,0.119613,0.123863,0.128111,0.132356,0.136600,0.140840,0.145079,0.149314,0.153547,0.157777,0.162004,0.166228,0.170449,0.174667,0.178881,0.183093,0.187301,0.191505,0.195707,0.199904,0.204098,0.208288"
78,Platinum,8.95883,"0.000000,0.004284,0.008568,0.012852,0.017136,0.021419,0.025702,0.029984,0.034266,0.038547,0.042828,0.047108,0.051386,0.055664,0.059941,0.064217,0.068492,0.072765,0.077037,0.081308,0.085577,0.089844,0.094110,0.098375,0.102637,0.106897,0.111156,0.115413,0.119667,0.123919,0.128169,0.132417,0.136662,0.140904,0.145144,0.149382,0.153616,0.157848,0.162077,0.166303,0.170526,0.174746,0.178962,0.183176,0.187385,0.191592,0.195795,0.199994,0.204190,0.208382"
79,Gold,9.225554,"0.000000,0.004222,0.008443,0.012665,0.016886,0.021107,0.025328,0.029548,0.033767,0.037986,0.042204,0.046422,0.050639,0.054855,0.059069,0.063283,0.067496,0.071707,0.075918,0.080126,0.084334,0.088540,0.092744,0.096947,0.101148,0.105347,0.109544,0.113739,0.117933,0.122124,0.126313,0.130499,0.134684,0.138866,0.143045,0.147222,0.151397,0.155569,0.159737,0.163903,0.168067,0.172227,0.176384,0.180538,0.184688,0.188836,0.192980,0.197121,0.201258,0.205391"
80,Mercury,10.437504,"0.000000,0.003969,0.007938,0.011907,0.015875,0.019844,0.023812,0.027780,0.031747,0.035714,0.039680,0.043646,0.047610,0.051575,0.055538,0.059500,0.063462,0.067422,0.071382,0.075340,0.079297,0.083253,0.087208,0.091161,0.095113,0.099063,0.103012,0.106959,0.110904,0.114848,0.118790,0.122730,0.126668,0.130604,0.134538,0.138470,0.142400,0.146327,0.150252,0.154175,0.158095,0.162013,0.165929,0.169841,0.173751,0.177659,0.181563,0.185465,0.189364,0.193259"
81,Thallium,6.1082873,"0.000000,0.005188,0.010376,0.015564,0.020752,0.025939,0.031125,0.036310,0.041494,0.046678,0.051860,0.057040,0.062219,0.067397,0.072572,0.077746,0.082917,0.088087,0.093253,0.098418,0.103580,0.108739,0.113895,0.119048,0.124197,0.129344,0.134487,0.139626,0.144762,0.149893,0.155021,0.160144,0.165264,0.170378,0.175488,0.180594,0.185694,0.190790,0.195880,0.200965,0.206045,0.211119,0.216188,0.221250,0.226307,0.231358,0.236402,0.241440,0.246472,0.251496"
82,Lead,7.4166799,"0.000000,0.004708,0.009417,0.014125,0.018833,0.023540,0.028247,0.032953,0.037659,0.042363,0.047067,0.051770,0.056471,0.061172,0.065871,0.070568,0.075264,0.079958,0.084651,0.089341,0.094030,0.098717,0.103401,0.108083,0.112763,0.117440,0.122114,0.126786,0.131455,0.136121,0.140785,0.145445,0.150101,0.154755,0.159405,0.164051,0.168694,0.173333,0.177968,0.182600,0.187227,0.191850,0.196469,0.201083,0.205693,0.210299,0.214900,0.219496,0.224087,0.228673"
83,Bismuth,7.285516,"0.000000,0.004751,0.009501,0.014251,0.019001,0.023751,0.028500,0.033248,0.037996,0.042743,0.047489,0.052233,0.056977,0.061719,0.066460,0.071200,0.075937,0.080673,0.085408,0.090140,0.094870,0.099598,0.104324,0.109048,0.113769,0.118487,0.123203,0.127916,0.132626,0.137334,0.142038,0.146739,0.151436,0.156130,0.160821,0.165508,0.170191,0.174871,0.179546,0.184217,0.188885,0.193548,0.198206,0.202860,0.207510,0.212155,0.216795,0.221430,0.226060,0.230686"
84,Polonium,8.41807,"0.000000,0.004420,0.008839,0.013258,0.017677,0.022096,0.026514,0.030932,0.035349,0.039765,0.044181,0.048596,0.053010,0.057422,0.061834,0.066245,0.070654,0.075062,0.079468,0.083873,0.088276,0.092677,0.097077,0.101475,0.105870,0.110264,0.114655,0.119045,0.123432,0.127816,0.132198,0.136578,0.140954,0.145328,0.149700,0.154068,0.158433,0.162795,0.167154,0.171510,0.175862,0.180211,0.184557,0.188899,0.193237,0.197571,0.201902,0.206228,0.210551,0.214869"
85,Astatine,9.31751,"0.000000,0.004201,0.008402,0.012602,0.016802,0.021003,0.025202,0.029401,0.033600,0.037798,0.041996,0.046193,0.050388,0.054583,0.058778,0.062971,0.067162,0.071353,0.075543,0.079731,0.083918,0.088103,0.092286,0.096469,0.100649,0.104828,0.109004,0.113179,0.117352,0.121523,0.125691,0.129858,0.134022,0.138183,0.142343,0.146499,0.150654,0.154805,0.158954,0.163100,0.167243,0.171383,0.175520,0.179654,0.183785,0.187913,0.192037,0.196158,0.200276,0.204390"
86,Radon,10.7485,"0.000000,0.003911,0.007822,0.011733,0.015644,0.019555,0.023465,0.027375,0.031284,0.035194,0.039102,0.043010,0.046917,0.050824,0.054729,0.058634,0.062538,0.066441,0.070343,0.074244,0.078144,0.082043,0.085940,0.089836,0.093731,0.097624,0.101516,0.105406,0.109295,0.113182,0.117067,0.120950,0.124832,0.128711,0.132589,0.136465,0.140338,0.144210,0.148079,0.151946,0.155811,0.159673,0.163533,0.167390,0.171245,0.175097,0.178946,0.182793,0.186637,0.190478"
87,Francium,4.0727411,"0.000000,0.006354,0.012707,0.019061,0.025413,0.031764,0.038114,0.044463,0.050809,0.057154,0.063496,0.069836,0.076173,0.082507,0.088837,0.095164,0.101487,0.107806,0.114121,0.120431,0.126736,0.133036,0.139331,0.145620,0.151903,0.158180,0.164451,0.170715,0.176972,0.183222,0.189465,0.195700,0.201927,0.208146,0.214356,0.220558,0.226751,0.232935,0.239109,0.245274,0.251429,0.257573,0.263708,0.269831,0.275944,0.282046,0.288136,0.294214,0.300281,0.306336"
88,Radium,5.2784239,"0.000000,0.005581,0.011162,0.016743,0.022323,0.027903,0.033481,0.039059,0.044635,0.050210,0.055784,0.061355,0.066925,0.072493,0.078058,0.083621,0.089181,0.094739,0.100294,0.105845,0.111393,0.116938,0.122479,0.128017,0.133550,0.139079,0.144604,0.150124,0.155640,0.161151,0.166656,0.172157,0.177652,0.183142,0.188626,0.194104,0.199576,0.205042,0.210501,0.215954,0.221400,0.226839,0.232272,0.237697,0.243114,0.248524,0.253926,0.259321,0.264707,0.270085"
89,Actinium,5.380235,"0.000000,0.005528,0.011056,0.016584,0.022111,0.027637,0.033163,0.038688,0.044211,0.049733,0.055254,0.060773,0.066290,0.071805,0.077317,0.082828,0.088336,0.093841,0.099343,0.104843,0.110339,0.115831,0.121321,0.126806,0.132288,0.137765,0.143239,0.148708,0.154172,0.159632,0.165087,0.170536,0.175981,0.181420,0.186854,0.192282,0.197704,0.203120,0.208530,0.213933,0.219330,0.224720,0.230104,0.235480,0.240849,0.246211,0.251565,0.256911,0.262250,0.267581"
90,Thorium,6.3067,"0.000000,0.005106,0.010212,0.015317,0.020423,0.025527,0.030631,0.035735,0.040837,0.045938,0.051038,0.056137,0.061234,0.066330,0.071423,0.076515,0.081606,0.086693,0.091779,0.096862,0.101943,0.107021,0.112096,0.117169,0.122238,0.127304,0.132367,0.137426,0.142482,0.147534,0.152582,0.157627,0.162667,0.167703,0.172734,0.177761,0.182783,0.187801,0.192814,0.197821,0.202824,0.207821,0.212813,0.217799,0.222780,0.227755,0.232723,0.237686,0.242643,0.247593"
91,Protactinium,5.89,"0.000000,0.005284,0.010567,0.015850,0.021133,0.026415,0.031696,0.036976,0.042256,0.047534,0.052811,0.058086,0.063360,0.068632,0.073902,0.079170,0.084436,0.089700,0.094961,0.100219,0.105475,0.110727,0.115977,0.121223,0.126466,0.131705,0.136941,0.142173,0.147400,0.152624,0.157844,0.163059,0.168269,0.173475,0.178676,0.183872,0.189063,0.194249,0.199429,0.204603,0.209772,0.214935,0.220092,0.225243,0.230388,0.235526,0.240658,0.245783,0.250901,0.256012"
92,Uranium,6.19405,"0.000000,0.005152,0.010304,0.015456,0.020608,0.025758,0.030909,0.036058,0.041206,0.046354,0.051500,0.056644,0.061788,0.066929,0.072069,0.077207,0.082343,0.087476,0.092608,0.097736,0.102863,0.107986,0.113107,0.118224,0.123339,0.128450,0.133558,0.138662,0.143763,0.148860,0.153953,0.159041,0.164126,0.169206,0.174282,0.179353,0.184419,0.189480,0.194537,0.199588,0.204634,0.209674,0.214709,0.219739,0.224762,0.229779,0.234791,0.239796,0.244794,0.249787"
93,Neptunium,6.265608,"0.000000,0.005123,0.010245,0.015368,0.020490,0.025611,0.030732,0.035851,0.040970,0.046088,0.051205,0.056320,0.061434,0.066546,0.071657,0.076765,0.081872,0.086977,0.092079,0.097178,0.102276,0.107370,0.112462,0.117551,0.122636,0.127719,0.132798,0.137873,0.142945,0.148014,0.153078,0.158138,0.163194,0.168246,0.173294,0.178337,0.183375,0.188408,0.193437,0.198460,0.203479,0.208491,0.213499,0.218501,0.223497,0.228487,0.233471,0.238449,0.243421,0.248386"
94,Plutonium,6.02576,"0.000000,0.005224,0.010447,0.015670,0.020893,0.026116,0.031337,0.036558,0.041777,0.046996,0.052213,0.057429,0.062643,0.067856,0.073067,0.078275,0.083482,0.088686,0.093888,0.099087,0.104284,0.109478,0.114669,0.119856,0.125041,0.130222,0.135399,0.140573,0.145743,0.150908,0.156070,0.161228,0.166381,0.171529,0.176673,0.181812,0.186947,0.192076,0.197199,0.202318,0.207431,0.212538,0.217639,0.222735,0.227824,0.232907,0.237984,0.243055,0.248118,0.253175"
95,Americium,5.97381,"0.000000,0.005246,0.010493,0.015738,0.020984,0.026229,0.031473,0.036716,0.041959,0.047200,0.052440,0.057678,0.062915,0.068150,0.073383,0.078614,0.083843,0.089070,0.094294,0.099516,0.104735,0.109951,0.115164,0.120374,0.125580,0.130783,0.135983,0.141178,0.146370,0.151558,0.156742,0.161921,0.167096,0.172266,0.177432,0.182592,0.187748,0.192899,0.198044,0.203183,0.208317,0.213446,0.218568,0.223685,0.228795,0.233899,0.238997,0.244088,0.249172,0.254250"
96,Curium,5.992241,"0.000000,0.005238,0.010476,0.015714,0.020952,0.026188,0.031425,0.036660,0.041894,0.047127,0.052359,0.057589,0.062818,0.068045,0.073270,0.078493,0.083714,0.088933,0.094149,0.099363,0.104574,0.109782,0.114987,0.120189,0.125388,0.130583,0.135775,0.140963,0.146147,0.151327,0.156503,0.161674,0.166841,0.172004,0.177162,0.182315,0.187463,0.192605,0.197743,0.202875,0.208002,0.213122,0.218237,0.223346,0.228449,0.233546,0.238636,0.243720,0.248797,0.253867"
97,Berkelium,6.19785,"0.000000,0.005151,0.010301,0.015451,0.020601,0.025750,0.030899,0.036047,0.041194,0.046339,0.051484,0.056627,0.061769,0.066909,0.072047,0.077183,0.082317,0.087449,0.092579,0.097706,0.102831,0.107953,0.113072,0.118188,0.123301,0.128411,0.133517,0.138620,0.143719,0.148814,0.153906,0.158993,0.164076,0.169155,0.174229,0.179298,0.184363,0.189423,0.194478,0.199528,0.204572,0.209611,0.214645,0.219672,0.224694,0.229710,0.234720,0.239724,0.244721,0.249712"
98,Californium,6.281878,"0.000000,0.005116,0.010232,0.015348,0.020463,0.025578,0.030692,0.035805,0.040917,0.046029,0.051139,0.056247,0.061355,0.066460,0.071564,0.076666,0.081766,0.086864,0.091960,0.097053,0.102144,0.107232,0.112317,0.117399,0.122478,0.127554,0.132627,0.137696,0.142761,0.147823,0.152881,0.157935,0.162985,0.168030,0.173072,0.178108,0.183140,0.188167,0.193189,0.198207,0.203219,0.208225,0.213226,0.218222,0.223212,0.228196,0.233174,0.238146,0.243112,0.248071"
99,Einsteinium,6.3684,"0.000000,0.005081,0.010162,0.015243,0.020324,0.025403,0.030483,0.035561,0.040639,0.045715,0.050790,0.055864,0.060937,0.066008,0.071077,0.076145,0.081210,0.086273,0.091335,0.096393,0.101450,0.106503,0.111554,0.116602,0.121647,0.126689,0.131728,0.136763,0.141795,0.146823,0.151847,0.156867,0.161884,0.166896,0.171904,0.176907,0.181906,0.186900,0.191889,0.196873,0.201853,0.206827,0.211795,0.216758,0.221716,0.226668,0.231614,0.236554,0.241488,0.246416"
100,Fermium,6.5,"0.000000,0.005030,0.010059,0.015088,0.020117,0.025145,0.030173,0.035199,0.040225,0.045250,0.050274,0.055297,0.060318,0.065337,0.070355,0.075371,0.080386,0.085398,0.090408,0.095416,0.100421,0.105424,0.110424,0.115421,0.120416,0.125407,0.130395,0.135380,0.140362,0.145340,0.150314,0.155284,0.160251,0.165213,0.170172,0.175126,0.180075,0.185020,0.189961,0.194896,0.199827,0.204752,0.209673,0.214588,0.219497,0.224401,0.229300,0.234192,0.239079,0.243960"
