N,Symmetry,Decay_Ratio
100,0.9931069391786986,0.0030267266305944057
200,0.9927986964581215,0.003036230803325208
300,0.9927080846554618,0.003036489973080866
400,0.9926678347249661,0.003036498928221117
500,0.9926455683426677,0.003036499289515908
600,0.9926315874898377,0.0030364993039172076
700,0.9926221506324316,0.003036499304482842
800,0.9926153735790608,0.0030364993045050056
900,0.9926102734371063,0.0030364993045059333
1000,0.9926063300239297,0.0030364993045059628
