Reynolds_Number,Lambda_0,Lambda_1,L1_Norm_Laminar,L1_Norm_Sharded,Eigenvalue_Gap
2457311.5800657584,0.003119337,0.03847467605932738,1.4073933464961974,1.4073933464961974,0.03535533905932738
2459770.120916249,0.003119337,0.03845698512048679,1.4079438637011623,1.4079438637011623,0.03533764812048679
2462228.6617667405,0.003119337,0.03843928532066841,1.4084948657375158,1.4084948657375158,0.03531994832066841
2464687.2026172313,0.003119337,0.038421576646544116,1.4090463536223947,1.4090463536223947,0.035302239646544116
2467145.7434677226,0.003119337,0.03840385908475232,1.4095983283759548,1.4095983283759548,0.03528452208475232
2469604.2843182134,0.003119337,0.038386132621897925,1.4101507910213826,1.4101507910213826,0.035266795621897926
2472062.8251687046,0.003119337,0.038368397244552085,1.4107037425849094,1.4107037425849094,0.035249060244552086
2474521.3660191954,0.003119337,0.038350652939252196,1.4112571840958208,1.4112571840958208,0.035231315939252196
2476979.9068696867,0.003119337,0.038332899692501726,1.4118111165864724,1.4118111165864724,0.035213562692501726
2479438.4477201775,0.003119337,0.038315137490770104,1.4123655410922993,1.4123655410922993,0.035195800490770104
2481896.9885706683,0.003119337,0.0382973663204926,1.4129204586518298,1.4129204586518298,0.0351780293204926
2484355.5294211595,0.003119337,0.038279586168070194,1.4134758703066983,1.4134758703066983,0.035160249168070194
2486814.0702716503,0.003119337,0.038261797019869474,1.414031777101658,1.414031777101658,0.035142460019869474
2489272.6111221416,0.003119337,0.0382439988622225,1.4145881800845925,1.4145881800845925,0.0351246618622225
2491731.1519726324,0.003119337,0.0382261916814267,1.4151450803065295,1.4151450803065295,0.0351068546814267
2494189.6928231237,0.003119337,0.0382083754637447,1.4157024788216535,1.4157024788216535,0.0350890384637447
2496648.2336736144,0.003119337,0.03819055019540427,1.4162603766873179,1.4162603766873179,0.03507121319540427
2499106.7745241057,0.003119337,0.03817271586259815,1.4168187749640602,1.4168187749640602,0.03505337886259815
2501565.3153745965,0.003119337,0.03815487245148391,1.417377674715612,1.417377674715612,0.03503553545148391
2504023.8562250873,0.003119337,0.03813701994818391,1.417937077008914,1.417937077008914,0.03501768294818391
