Re,eta_classical,eta_uft
10000.0,0.32559667695541,0.32559667695541
10186.289902446864,0.3211204322809583,0.3211204322809583
10376.050197669118,0.31670572621486337,0.31670572621486337
10569.345535579872,0.3123517127353838,0.3123517127353838
10766.241770454933,0.3080575574517313,0.3080575574517313
10966.805983368675,0.3038224374441744,0.3038224374441744
11171.106505048241,0.2996455411063325,0.2996455411063325
11379.21293915314,0.2955260679896456,0.2955260679896456
11591.196185988858,0.2914632286499751,0.2914632286499751
11807.12846666189,0.28745624449632046,0.28745624449632046
12027.08334768512,0.28350434764160876,0.28350434764160876
12251.135766041178,0.27960678075554246,0.27960678075554246
12479.362054713114,0.27576279691946326,0.27576279691946326
12711.839968690276,0.2719716594832182,0.2719716594832182
12948.648711459049,0.2682326419239868,0.2682326419239868
13189.868961986693,0.26454502770705557,0.26454502770705557
13435.582902208263,0.2609081101484999,0.2609081101484999
13685.874245025178,0.25732119227976075,0.25732119227976075
13940.828262825786,0.2537835867140759,0.2537835867140759
14200.531816536817,0.2502946155147547,0.2502946155147547
14465.073385216472,0.2468536100652568,0.2468536100652568
14734.543096198344,0.24345991094106367,0.24345991094106367
15009.032755797365,0.24011286778330512,0.24011286778330512
15288.635880587295,0.23681183917412948,0.23681183917412948
15573.447729261352,0.2335561925137811,0.2335561925137811
15863.565335085896,0.23034530389937372,0.23034530389937372
16159.087538959191,0.2271785580053244,0.2271785580053244
16460.1150230855,0.22405534796543755,0.22405534796543755
16766.75034527701,0.22097507525660345,0.22097507525660345
17079.09797389427,0.21793714958410226,0.21793714958410226
17397.264323438027,0.2149409887684785,0.2149409887684785
17721.357790803584,0.2119860186339767,0.2119860186339767
18051.4887922111,0.20907167289850534,0.20907167289850534
18387.76980082327,0.20619739306511872,0.20619739306511872
18730.315385064383,0.20336262831498567,0.20336262831498567
19079.24224765265,0.20056683540183468,0.20056683540183468
19434.669265360222,0.19780947854784528,0.19780947854784528
19796.717529513327,0.19509002934097544,0.19509002934097544
20165.510387247487,0.19240796663369586,0.19240796663369586
20541.17348353064,0.18976277644312126,0.18976277644312126
20923.834803969792,0.1871539518525094,0.1871539518525094
21313.624718414376,0.1845809929141198,0.1845809929141198
21710.67602537267,0.1820434065534025,0.1820434065534025
22115.123997254886,0.17954070647450923,0.17954070647450923
22527.106426459828,0.17707241306709845,0.17707241306709845
22946.76367231936,0.17463805331442675,0.17463805331442675
23374.238708918172,0.1722371607026989,0.1722371607026989
23809.677173803582,0.1698692751316686,0.1698692751316686
24253.227417603553,0.16753394282646417,0.16753394282646417
24705.040554568255,0.16523071625063043,0.16523071625063043
25165.27051405389,0.16295915402036237,0.16295915402036237
25634.07409296515,0.1607188208199201,0.1607188208199201
26111.611009174623,0.15850928731820713,0.15850928731820713
26598.043955937585,0.15633013008649368,0.15633013008649368
27093.53865732049,0.15418093151727172,0.15418093151727172
27598.263924661806,0.1520612797442262,0.1520612797442262
28112.391714084613,0.14997076856330707,0.14997076856330707
28636.09718508116,0.1479089973548837,0.1479089973548837
29169.55876018793,0.14587557100697304,0.14587557100697304
29712.958185773343,0.14387009983951993,0.14387009983951993
30266.48059395689,0.1418921995297214,0.1418921995297214
30830.31456568277,0.1399414910383746,0.1399414910383746
31404.65219496749,0.1380176005372405,0.1380176005372405
31989.68915434538,0.13612015933740268,0.13612015933740268
32585.62476153223,0.13424880381861462,0.13424880381861462
33192.6620473319,0.1324031753596149,0.1324031753596149
33811.00782480682,0.13058292026940363,0.13058292026940363
34440.87275973823,0.12878768971946047,0.12878768971946047
35082.47144239789,0.1270171396768978,0.1270171396768978
35736.022460657885,0.12527093083852958,0.12527093083852958
36401.748474461376,0.12354872856584988,0.12354872856584988
37079.87629168172,0.12185020282090207,0.12185020282090207
37770.63694539364,0.1201750281030329,0.1201750281030329
38474.26577258506,0.11852288338651294,0.11852288338651294
39191.00249433402,0.11689345205901759,0.11689345205901759
39921.09129748053,0.11528642186095092,0.11528642186095092
40664.78091781854,0.1137014848256066,0.1137014848256066
41422.32472483898,0.11213833722014864,0.11213833722014864
42193.98080805024,0.1105966794874062,0.1105966794874062
42980.01206490798,0.10907621618846598,0.10907621618846598
43780.686290381665,0.10757665594605656,0.10757665594605656
44596.27626819096,0.10609771138870823,0.10609771138870823
45427.059863740425,0.10463909909568336,0.10463909909568336
46273.320118786934,0.10320053954266106,0.10320053954266106
47135.34534786907,0.10178175704817129,0.10178175704817129
