Mass_Eigenvalue_GeV,Mass_Eigenvalue_MeV,Generation_Label
239.21246390336967,239212.46390336967,m_electron (Gen 1)
173.94883412007346,173948.83412007344,m_muon (Gen 2)
173.94846906850336,173948.46906850336,m_tau (Gen 3)
173.9482681720239,173948.26817202388,Heavy Mass (Mode 4)
173.94826817175843,173948.26817175842,Heavy Mass (Mode 5)
173.94806727539088,173948.06727539087,Heavy Mass (Mode 6)
173.94770222155532,173947.70222155532,Heavy Mass (Mode 7)
46.687933486413236,46687.93348641323,Heavy Mass (Mode 8)
