Mass_Eigenvalue_GeV,Mass_Eigenvalue_MeV,Generation_Label
1.7768599999999999,1776.86,m_tau (Gen 3)
1.2920845358603399,1292.0845358603397,m_muon (Gen 2)
1.2920818242728151,1292.0818242728153,m_electron (Gen 1)
1.2920803320223166,1292.0803320223167,Heavy Mass (Mode 4)
1.292080332020345,1292.080332020345,Heavy Mass (Mode 5)
1.2920788397706777,1292.0788397706776,Heavy Mass (Mode 6)
1.2920761281663253,1292.0761281663254,Heavy Mass (Mode 7)
0.34679598270506184,346.7959827050618,Heavy Mass (Mode 8)
