mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10,mode11,mode12
-0.011601331331100577,0.004897363012050769,-0.0156620187360742,-0.004242483508160369,0.015085541553024507,0.013315700855274351,0.010770715842219223,-0.0073110950782885546,0.0006122125150692109,-0.003916330159296331,-0.003916330159296331,1.483180968259211e-14
-0.011618811316474012,0.005027974382495358,-0.01571606234651096,-0.0044973340486874755,0.01507849187182187,0.013383306932325837,0.010555798511295691,-0.007685324278333108,0.00010588413555283708,-0.004291113822272809,-0.004291113822272809,-0.0004549982388968707
-0.011666760558921567,0.005171737925255619,-0.015811216023225376,-0.004763862828919804,0.015110596551973561,0.013485276175185114,0.010367984396065585,-0.00807902660321223,-0.0004001759540494685,-0.00467664553697172,-0.00467664553697172,-0.0009111307021736664
-0.01173751162125473,0.005325575071919198,-0.01593716707013691,-0.0050395797728734785,0.01517184536159188,0.013612862487167565,0.010199865641129922,-0.008487802978539885,-0.0009069827019828014,-0.005070767041098714,-0.005070767041098714,-0.0013689258231792479
-0.011827767248105005,0.005488226690008637,-0.016089496057806796,-0.005323541592393537,0.01525791568069253,0.013762323792942299,0.010048137413740638,-0.008909931756041585,-0.001415216249976466,-0.0054727180363033055,-0.0054727180363033055,-0.0018288183194032986
-0.011936978863990606,0.005659637849284565,-0.016267504852698768,-0.005615898444006573,0.015368047179664909,0.013933087455114495,0.009911962446653926,-0.009345550771841096,-0.001925592530931229,-0.00588279593049222,-0.00588279593049222,-0.002291404795670216
-0.012063186611619274,0.00583906992569309,-0.016468568180733195,-0.005916106979894503,0.01549966500991284,0.014122925910077758,0.00978935723791623,-0.00979364816317575,-0.002438539903447753,-0.0063005575651326,-0.0063005575651326,-0.002756956865102215
-0.012204285655728444,0.006025671406728128,-0.016689852165552528,-0.00622346653133176,0.01565001785389082,0.014329424444947704,0.009678300023897177,-0.010252967512854778,-0.002954281453655885,-0.006725355391466995,-0.006725355391466995,-0.0032255549428457024
-0.01235979254602632,0.006219346714180349,-0.016930729173153535,-0.0065380132631543495,0.015818444146288937,0.014552054513247325,0.009578138280312032,-0.010723482645701828,-0.003473248947429171,-0.007157301409190137,-0.007157301409190137,-0.003697542947601171
-0.01252906872692207,0.006419909518586799,-0.01719035579401312,-0.006859675539068977,0.016004086194033033,0.014790098780021563,0.009488122136740808,-0.011204994045967606,-0.003995778042922771,-0.007596378637113996,-0.007596378637113996,-0.004173170968925543
-0.0127106309906937,0.006626725303276469,-0.017466725790387834,-0.007187888129852315,0.016205010568640203,0.01504183590917024,0.009406890217841803,-0.01169650036070649,-0.00452187139375015,-0.008042010946231177,-0.008042010946231177,-0.004652350397376861
-0.01290375456210413,0.006839524820472181,-0.017758867711824073,-0.007522453901719539,0.016420258116444923,0.015306430563963505,0.0093336991613048,-0.012197609231968016,-0.005051677096503874,-0.008494011670889645,-0.008494011670889645,-0.005135158569881273
-0.013108258758608288,0.0070583113448980115,-0.0180665549338739,-0.00786346083214051,0.016649565635557147,0.015583686221244437,0.00926822864992043,-0.012708395215646979,-0.005585490604904585,-0.008952504181226695,-0.008952504181226695,-0.005621830257649805
